Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,"0,00",700,42.7,2
Faroe Islands ,WESTERN EUROPE                     ,47246,1399,"79,84",22000,92.4,3
Fiji ,OCEANIA                            ,905949,18270,"6,18",5800,93.7,2
Finland ,WESTERN EUROPE                     ,5231372,338145,"0,37",27400,100,3
France ,WESTERN EUROPE                     ,60876136,547030,"0,63",27600,99,4
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,"0,42",8300,83,2
French Polynesia ,OCEANIA                            ,274578,4167,"60,60",17500,98,2
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,"0,33",5500,63.2,2
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,11300,"0,71",1700,40.1,2
Gaza Strip ,NEAR EAST                          ,1428757,360,"11,11",600,44.5,3
Georgia ,C.W. OF IND. STATES ,4661473,69700,"0,44",2500,99,3
Germany ,WESTERN EUROPE                     ,82422299,357021,"0,67",27600,99,3
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,"0,23",2200,74.8,2
Gibraltar ,WESTERN EUROPE                     ,27928,7,"171,43",17500,87.4,3
Greece ,WESTERN EUROPE                     ,10688058,131940,"10,37",20000,97.5,3
Greenland ,NORTHERN AMERICA                   ,56361,2166086,"2,04",20000,56.7,1
Grenada ,LATIN AMER. & CARIB    ,89703,344,"35,17",5000,98,2
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,"17,19",8000,90,2
Guam ,OCEANIA                            ,171019,541,"23,20",21000,99,2
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,"0,37",4100,70.6,2
Guernsey ,WESTERN EUROPE                     ,65409,78,"64,10",20000,44.7,3
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,"0,13",2100,35.9,2
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,"0,97",800,42.4,2
Guyana ,LATIN AMER. & CARIB    ,767245,214970,"0,21",4000,98.8,2
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,"6,38",1600,52.9,2
Honduras ,LATIN AMER. & CARIB    ,7326496,112090,"0,73",2600,76.2,2
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,"67,12",28800,93.5,2
Hungary ,EASTERN EUROPE                     ,9981334,93030,"0,00",13900,99.4,3
Iceland ,WESTERN EUROPE                     ,299388,103000,"4,83",30900,99.9,3
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,"0,21",2900,59.5,5
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,"2,85",3200,87.9,2
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,"0,15",7000,79.4,1
Iraq ,NEAR EAST                          ,26783383,437072,"0,01",1500,40.4,1
Ireland ,WESTERN EUROPE                     ,4062235,70280,"2,06",29600,98,3
Isle of Man ,WESTERN EUROPE                     ,75441,572,"27,97",21000,89,3
Israel ,NEAR EAST                          ,6352117,20770,"1,31",19800,95.4,3
Italy ,WESTERN EUROPE                     ,58133509,301230,"2,52",26700,98.6,2
Jamaica ,LATIN AMER. & CARIB    ,2758124,10991,"9,30",3900,87.9,2
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,"7,87",28200,99,3
Jersey ,WESTERN EUROPE                     ,91084,116,"60,34",24800,93,3
Jordan ,NEAR EAST                          ,5906760,92300,"0,03",4300,91.3,1
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,"0,00",6300,98.4,4
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,"0,09",1000,85.1,5
Kiribati ,OCEANIA                            ,105432,811,"140,94",800,78.3,2
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,120540,"2,07",1300,99,3
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,98480,"2,45",17800,97.9,3
Kuwait ,NEAR EAST                          ,2418393,17820,"2,80",19000,83.5,1
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,"0,00",1600,97,5
Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,"0,00",1700,66.4,2
Latvia ,BALTICS                            ,2274735,64589,"0,82",10200,99.8,3
Lebanon ,NEAR EAST                          ,3874050,10400,"2,16",4800,87.4,4
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,30355,"0,00",3000,84.8,3
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,111370,"0,52",1000,57.5,2
Libya ,NORTHERN AFRICA                    ,5900754,1759540,"0,10",6400,82.6,3
Liechtenstein ,WESTERN EUROPE                     ,33987,160,"0,00",25000,100,4
Lithuania ,BALTICS                            ,3585906,65200,"0,14",11400,99.6,4
Luxembourg ,WESTERN EUROPE                     ,474413,2586,"0,00",55100,100,2
Macau ,ASIA (EX. NEAR EAST)         ,453125,28,"146,43",19400,94.5,2
Macedonia ,EASTERN EUROPE                     ,2050554,25333,"0,00",6700,67.9,3
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,"0,82",800,68.9,2
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,"0,00",600,62.7,2
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,"1,42",9000,88.7,2
Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,"214,67",3900,97.2,2
Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000,"0,00",900,46.4,2
Malta ,WESTERN EUROPE                     ,400214,316,"62,28",17700,92.8,2
Marshall Islands ,OCEANIA                            ,60422,11854,"3,12",1600,93.7,2
Martinique ,LATIN AMER. & CARIB    ,436131,1100,"31,82",14400,97.7,2
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700,"0,07",1800,41.7,1
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,"8,68",11400,85.6,2
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,"49,52",2600,56.9,2
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,"0,47",9000,92.2,5
"Micronesia, Fed. St. ",OCEANIA                            ,108004,702,"870,66",2000,89,2
Moldova ,C.W. OF IND. STATES ,4466706,33843,"0,00",1800,99.1,2
Monaco ,WESTERN EUROPE                     ,32543,2,"205,00",27000,99,1
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,"0,00",1800,97.8,1
Montserrat ,LATIN AMER. & CARIB    ,9439,102,"39,22",3400,97,2
Morocco ,NORTHERN AFRICA                    ,33241259,446550,"0,41",4000,51.7,3
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,"0,31",1200,47.8,2
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,"0,19",7200,84,1
Nauru ,OCEANIA                            ,13287,21,"142,86",5000,45.8,2
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,"0,00",1400,45.2,3
Netherlands ,WESTERN EUROPE                     ,16491461,41526,"1,09",28600,99,3
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,"37,92",11400,96.7,2
New Caledonia ,OCEANIA                            ,219246,19060,"11,83",15000,91,2
New Zealand ,OCEANIA                            ,4076140,268680,"5,63",21600,99,3
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,"0,70",2300,67.5,2
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,"0,00",800,17.6,1
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,"0,09",900,68,5
N. Mariana Islands ,OCEANIA                            ,82459,477,"310,69",12500,97,2
Norway ,WESTERN EUROPE                     ,4610820,323802,"7,77",37800,100,3
Oman ,NEAR EAST                          ,3102229,212460,"0,98",13100,75.8,1
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,"0,13",2100,45.7,1
Palau ,OCEANIA                            ,20579,458,"331,66",9000,92,2
Panama ,LATIN AMER. & CARIB    ,3191319,78200,"3,18",6300,92.6,2
Papua New Guinea ,OCEANIA                            ,5670544,462840,"1,11",2200,64.6,2
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,"0,00",4700,94,2
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,"0,19",5100,90.9,5
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,"12,10",4600,92.6,2
Poland ,EASTERN EUROPE                     ,38536869,312685,"0,16",11100,99.8,3
Portugal ,WESTERN EUROPE                     ,10605870,92391,"1,94",18000,93.3,3
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,"3,63",16800,94.1,2
Qatar ,NEAR EAST                          ,885359,11437,"4,92",21500,82.5,1
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,"8,22",5800,88.9,2
Romania ,EASTERN EUROPE                     ,22303552,237500,"0,09",7000,98.4,3
Russia ,C.W. OF IND. STATES ,142893540,17075200,"0,22",8900,99.6,3
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,"0,00",1300,70.4,3
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,"14,53",2500,97,2
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,"51,72",8800,97,2
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,"25,65",5400,67,2
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,"49,59",6900,99,2
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,"21,59",2900,96,2
Samoa ,OCEANIA                            ,176908,2944,"13,69",5600,99.7,2
San Marino ,WESTERN EUROPE                     ,29251,61,"0,00",34600,96,2
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,"20,88",1200,79.3,2
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,"0,13",11800,78.8,1
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,"0,27",1600,40.2,2
Serbia ,EASTERN EUROPE                     ,9396411,88361,"0,00",2200,93,2
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,"107,91",7800,58,2
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,"0,56",500,31.4,2
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,"27,85",23700,92.5,2
Slovakia ,EASTERN EUROPE                     ,5439448,48845,"0,00",13300,45.7,3
Slovenia ,EASTERN EUROPE                     ,2010347,20273,"0,23",19000,99.7,3
Solomon Islands ,OCEANIA                            ,552438,28450,"18,67",1700,78.6,2
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,"0,47",500,37.8,1
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,"0,23",10700,86.4,1
Spain ,WESTERN EUROPE                     ,40397842,504782,"0,98",22000,97.9,3
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,"2,04",3700,92.3,2
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,"0,03",1900,61.1,2
Suriname ,LATIN AMER. & CARIB    ,439117,163270,"0,24",4000,93,2
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,"0,00",4900,81.6,5
Sweden ,WESTERN EUROPE                     ,9016596,449964,"0,72",26800,99,3
Switzerland ,WESTERN EUROPE                     ,7523934,41290,"0,00",32700,99,3
Syria ,NEAR EAST                          ,18881361,185180,"0,10",3300,76.9,1
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,"4,35",23400,96.1,2
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,"0,00",1000,99.4,2
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,"0,15",600,78.2,2
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,"0,63",7400,92.6,2
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,"0,10",1500,60.9,2
Tonga ,OCEANIA                            ,114689,748,"56,02",2200,98.5,2
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,"7,06",9500,98.6,2
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,"0,70",6900,74.2,3
Turkey ,NEAR EAST                          ,70413958,780580,"0,92",6700,86.5,3
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,"0,00",5800,98,1
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,"90,47",9600,98,2
Tuvalu ,OCEANIA                            ,11810,26,"92,31",1100,78.6,2
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,"0,00",1400,69.9,2
Ukraine ,C.W. OF IND. STATES ,46710816,603700,"0,46",5400,99.7,3
United Arab Emirates ,NEAR EAST                          ,2602713,82880,"1,59",23200,77.9,1
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,"5,08",27700,99,3
United States ,NORTHERN AMERICA                   ,298444215,9631420,"0,21",37800,970,3
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,"0,37",12800,98,3
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,"0,00",1700,99.3,1
Vanuatu ,OCEANIA                            ,208869,12200,"20,72",2900,53,2
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,"0,31",4800,93.4,2
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,"1,05",2500,90.3,2
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,"9,84",17200,54.8,2
Wallis and Futuna ,OCEANIA                            ,16025,274,"47,08",3700,50,2
West Bank ,NEAR EAST                          ,2460492,5860,"0,00",800,93.4,3
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,"0,42",800,87.4,1
Yemen ,NEAR EAST                          ,21456188,527970,"0,36",800,50.2,1
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,"0,00",800,80.6,2
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,"0,00",1900,90.7,2
